2019-05-29 15:28:31,609 - main - INFO - {'constellation_id': 1, 'constellation_name': 'S1-NG', 'num_sat': 2, 'num_planes': 1, 'rx_constellation': '1111', 'tle_file_name': None, 'obs_incl_angle_start': None, 'obs_incl_angle_stop': None, 'obs_swath_start': 325000.0, 'obs_swath_stop': 575000.0}
2019-05-29 15:28:31,610 - main - INFO - {'constellation_id': 1, 'constellation_name': 'S1-NG', 'sat_id': 1, 'plane': 1, 'name': '', 'rx_constellation': '1111', 'antenna_mask': [], 'antenna_mask_max': [], 'kepler': <segments.KeplerSet object at 0x11bb546a0>, 'tle_line1': '', 'tle_line2': '', 'posvel_eci': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'posvel_ecf': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'lla': [0.0, 0.0, 0.0], 'idx_stat_in_view': [], 'idx_sat_in_view': [], 'metric': [], 'obs_incl_angle_start': None, 'obs_incl_angle_stop': None, 'obs_swath_start': None, 'obs_swath_stop': None, 'p1': [0, 0, 0], 'p2': [0, 0, 0], 'p3': [0, 0, 0], 'p4': [0, 0, 0]}
2019-05-29 15:28:31,610 - main - INFO - {'constellation_id': 1, 'constellation_name': 'S1-NG', 'sat_id': 2, 'plane': 1, 'name': '', 'rx_constellation': '1111', 'antenna_mask': [], 'antenna_mask_max': [], 'kepler': <segments.KeplerSet object at 0x11bb5a940>, 'tle_line1': '', 'tle_line2': '', 'posvel_eci': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'posvel_ecf': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'lla': [0.0, 0.0, 0.0], 'idx_stat_in_view': [], 'idx_sat_in_view': [], 'metric': [], 'obs_incl_angle_start': None, 'obs_incl_angle_stop': None, 'obs_swath_start': None, 'obs_swath_stop': None, 'p1': [0, 0, 0], 'p2': [0, 0, 0], 'p3': [0, 0, 0], 'p4': [0, 0, 0]}
2019-05-29 15:28:31,611 - main - INFO - {'constellation_id': 1, 'station_id': 1, 'station_name': 'ALB', 'rx_constellation': '1', 'elevation_mask': [0.08726646259971647], 'el_mask_max': [1.5707963267948966], 'posvel_eci': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'posvel_ecf': [3420934.916457177, 597048.7200610382, 5331957.088686384, 0.0, 0.0, 0.0], 'lla': [0.9965830028887622, 0.17278759594743864, 0.0], 'idx_sat_in_view': []}
2019-05-29 15:28:32,378 - main - INFO - {'type': 'Grid', 'user_id': 43680, 'rx_constellation': '1111', 'elevation_mask': [0.08726646259971647], 'el_mask_max': [1.5707963267948966], 'posvel_eci': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'posvel_ecf': [-3197104.5869409614, 3.915323898936569e-10, 5500477.133889723, 0.0, 0.0, 0.0], 'norm_ecf': 0, 'lla': [1.0471975511965976, 3.141592653589793, 0.0], 'num_lat': 121, 'num_lon': 361, 'idx_sat_in_view': [], 'tle_file_name': '', 'kepler': <segments.KeplerSet object at 0x11f739080>, 'metric': [], 'UserName': 'Grid'}
2019-05-29 15:28:32,383 - main - INFO - Loaded simulation, start MJD: 55324.0, stop MJD: 55336.0, number of time steps: 120.0
2019-05-29 15:28:32,383 - main - INFO - Loaded 2 number of Station to Spacecraft links
2019-05-29 15:28:32,712 - main - INFO - Loaded 87362 number of User to Spacecraft links
2019-05-29 15:28:32,712 - main - INFO - Loaded 4 number of Spacecraft to Spacecraft links
2019-05-29 15:28:35,641 - main - INFO - Finished reading configuration file
2019-05-29 15:28:53,255 - main - INFO - Simulation time: 2010-05-08 02:24:00, time step: 72
2019-05-29 15:28:53,492 - main - INFO - Simulation time: 2010-05-08 02:26:00, time step: 73
2019-05-29 15:28:53,737 - main - INFO - Simulation time: 2010-05-08 02:28:00, time step: 74
2019-05-29 15:28:53,987 - main - INFO - Simulation time: 2010-05-08 02:30:00, time step: 75
2019-05-29 15:28:54,262 - main - INFO - Simulation time: 2010-05-08 02:32:00, time step: 76
2019-05-29 15:28:54,501 - main - INFO - Simulation time: 2010-05-08 02:34:00, time step: 77
2019-05-29 15:28:54,751 - main - INFO - Simulation time: 2010-05-08 02:36:00, time step: 78
2019-05-29 15:28:54,987 - main - INFO - Simulation time: 2010-05-08 02:38:00, time step: 79
2019-05-29 15:28:55,229 - main - INFO - Simulation time: 2010-05-08 02:40:00, time step: 80
2019-05-29 15:28:55,468 - main - INFO - Simulation time: 2010-05-08 02:42:00, time step: 81
2019-05-29 15:28:55,708 - main - INFO - Simulation time: 2010-05-08 02:44:00, time step: 82
2019-05-29 15:28:55,948 - main - INFO - Simulation time: 2010-05-08 02:46:00, time step: 83
2019-05-29 15:28:56,201 - main - INFO - Simulation time: 2010-05-08 02:48:00, time step: 84
2019-05-29 15:28:56,436 - main - INFO - Simulation time: 2010-05-08 02:50:00, time step: 85
2019-05-29 15:28:56,673 - main - INFO - Simulation time: 2010-05-08 02:52:00, time step: 86
2019-05-29 15:28:56,914 - main - INFO - Simulation time: 2010-05-08 02:54:00, time step: 87
2019-05-29 15:28:57,159 - main - INFO - Simulation time: 2010-05-08 02:56:00, time step: 88
2019-05-29 15:28:57,397 - main - INFO - Simulation time: 2010-05-08 02:58:00, time step: 89
2019-05-29 15:28:57,636 - main - INFO - Simulation time: 2010-05-08 03:00:00, time step: 90
2019-05-29 15:28:57,875 - main - INFO - Simulation time: 2010-05-08 03:02:00, time step: 91
2019-05-29 15:28:58,115 - main - INFO - Simulation time: 2010-05-08 03:04:00, time step: 92
2019-05-29 15:28:58,351 - main - INFO - Simulation time: 2010-05-08 03:06:00, time step: 93
2019-05-29 15:28:58,608 - main - INFO - Simulation time: 2010-05-08 03:08:00, time step: 94
2019-05-29 15:28:58,849 - main - INFO - Simulation time: 2010-05-08 03:10:00, time step: 95
2019-05-29 15:28:59,101 - main - INFO - Simulation time: 2010-05-08 03:12:00, time step: 96
2019-05-29 15:28:59,348 - main - INFO - Simulation time: 2010-05-08 03:14:00, time step: 97
2019-05-29 15:28:59,588 - main - INFO - Simulation time: 2010-05-08 03:16:00, time step: 98
2019-05-29 15:28:59,836 - main - INFO - Simulation time: 2010-05-08 03:18:00, time step: 99
2019-05-29 15:29:00,082 - main - INFO - Simulation time: 2010-05-08 03:20:00, time step: 100
2019-05-29 15:29:00,326 - main - INFO - Simulation time: 2010-05-08 03:22:00, time step: 101
2019-05-29 15:29:00,565 - main - INFO - Simulation time: 2010-05-08 03:24:00, time step: 102
2019-05-29 15:29:00,808 - main - INFO - Simulation time: 2010-05-08 03:26:00, time step: 103
2019-05-29 15:29:01,049 - main - INFO - Simulation time: 2010-05-08 03:28:00, time step: 104
2019-05-29 15:29:01,294 - main - INFO - Simulation time: 2010-05-08 03:30:00, time step: 105
2019-05-29 15:29:01,550 - main - INFO - Simulation time: 2010-05-08 03:32:00, time step: 106
2019-05-29 15:29:01,790 - main - INFO - Simulation time: 2010-05-08 03:34:00, time step: 107
